source	edge_type	target	attribute
DOID:13714	PRESENTS_DpS	D008607	12.859133675954926
DOID:3883	PRESENTS_DpS	D008607	13.226537495267921
DOID:8461	PRESENTS_DpS	D008607	41.149227763055755
DOID:0060768	PRESENTS_DpS	D008607	33.667549987954715
DOID:14515	PRESENTS_DpS	D008607	13.716409254351918
DOID:10629	PRESENTS_DpS	D008607	21.82156017737805
DOID:12960	PRESENTS_DpS	D008607	15.430960411145909
DOID:3146	PRESENTS_DpS	D008607	12.887395508209767
DOID:9266	PRESENTS_DpS	D008607	18.002787146336892
DOID:9455	PRESENTS_DpS	D008607	25.742644856508807
DOID:1933	PRESENTS_DpS	D008607	30.861920822291808
DOID:2978	PRESENTS_DpS	D008607	20.078840053057327
DOID:13068	PRESENTS_DpS	D008607	18.51715249337509
DOID:9252	PRESENTS_DpS	D008607	33.02898063790069
DOID:4535	PRESENTS_DpS	D008607	43.37351034484255
DOID:13482	PRESENTS_DpS	D008607	15.430960411145909
DOID:14503	PRESENTS_DpS	D008607	39.898836864178364
DOID:2734	PRESENTS_DpS	D008607	14.354381777810149
DOID:1206	PRESENTS_DpS	D008607	15.128392559946967
DOID:12583	PRESENTS_DpS	D008607	17.246367518339547
DOID:0050454	PRESENTS_DpS	D008607	9.74586973335531
DOID:0060215	PRESENTS_DpS	D008607	11.005026029654449
DOID:3144	PRESENTS_DpS	D008607	28.892010982571072
DOID:4998	PRESENTS_DpS	D008607	22.44503332530314
DOID:12714	PRESENTS_DpS	D008607	16.833774993977357
DOID:1826	PRESENTS_DpS	D014474	8.088446603257768
DOID:224	PRESENTS_DpS	D014474	7.296099492740416
DOID:0050451	PRESENTS_DpS	D014474	18.125047160913034
DOID:1682	PRESENTS_DpS	D014474	3.0063369363365138
DOID:936	PRESENTS_DpS	D014474	7.459405690772876
DOID:3328	PRESENTS_DpS	D014474	3.0358205713044417
DOID:9470	PRESENTS_DpS	D014474	6.802486835700695
DOID:9477	PRESENTS_DpS	D014474	3.787819205030405
DOID:1793	PRESENTS_DpS	D014474	3.8242742482770415
DOID:14069	PRESENTS_DpS	D014474	26.23816350913125
DOID:10264	PRESENTS_DpS	D014474	11.824065100681464
DOID:4079	PRESENTS_DpS	D014474	7.230989943461367
DOID:9976	PRESENTS_DpS	D014474	27.734971494551488
DOID:9406	PRESENTS_DpS	D014474	15.348229350745301
DOID:114	PRESENTS_DpS	D014474	4.1724470314174535
DOID:0050152	PRESENTS_DpS	D014474	23.15132074335111
DOID:0070309	PRESENTS_DpS	D014474	31.766330034640042
DOID:2316	PRESENTS_DpS	D014474	6.7372259574800895
DOID:223	PRESENTS_DpS	D014474	8.45094223453614
DOID:6713	PRESENTS_DpS	D014474	6.539521932591207
DOID:4205	PRESENTS_DpS	D014474	8.055576515961349
DOID:3627	PRESENTS_DpS	D014474	6.1979913801097455
DOID:4723	PRESENTS_DpS	D014474	6.93956465606746
DOID:12385	PRESENTS_DpS	D014474	6.752468550144073
DOID:12550	PRESENTS_DpS	D014474	5.989146018388655
DOID:7725	PRESENTS_DpS	D014474	17.660302361915267
DOID:302	PRESENTS_DpS	D014474	6.345018812664168
DOID:0060319	PRESENTS_DpS	D014474	14.152434084548535
DOID:9476	PRESENTS_DpS	D014474	15.348229350745301
DOID:1837	PRESENTS_DpS	D014474	13.961184975297876
DOID:11589	PRESENTS_DpS	D014474	25.509325633877605
DOID:9993	PRESENTS_DpS	D014474	17.229563279917333
DOID:10914	PRESENTS_DpS	D014474	6.739254325975492
DOID:10941	PRESENTS_DpS	D014474	9.88343378819294
DOID:3401	PRESENTS_DpS	D014474	48.05245061265317
DOID:9252	PRESENTS_DpS	D014474	6.670719536219809
DOID:4267	PRESENTS_DpS	D014474	39.35724526369688
DOID:12365	PRESENTS_DpS	D014474	5.824539468200385
DOID:3021	PRESENTS_DpS	D014474	4.638059206159563
DOID:1192	PRESENTS_DpS	D014474	9.370772681832591
DOID:13003	PRESENTS_DpS	D014474	8.45094223453614
DOID:8619	PRESENTS_DpS	D014474	5.0458006748329325
DOID:13413	PRESENTS_DpS	D014474	5.989146018388655
DOID:9428	PRESENTS_DpS	D014474	10.569081208921157
DOID:1799	PRESENTS_DpS	D014474	13.844257127933574
DOID:2234	PRESENTS_DpS	D014474	3.739828735464408
DOID:303	PRESENTS_DpS	D014474	6.345018812664168
DOID:1825	PRESENTS_DpS	D014474	31.766330034640042
DOID:13593	PRESENTS_DpS	D014474	8.425098374491688
DOID:331	PRESENTS_DpS	D014474	5.135148496661288
DOID:10310	PRESENTS_DpS	D014474	31.306899641577072
DOID:4724	PRESENTS_DpS	D014474	8.03209087014222
DOID:3240	PRESENTS_DpS	D014474	23.15132074335111
DOID:117	PRESENTS_DpS	D014474	8.830151180957634
DOID:11037	PRESENTS_DpS	D014474	6.739254325975492
DOID:2843	PRESENTS_DpS	D014474	17.27277221604252
DOID:3892	PRESENTS_DpS	D014474	35.06372759856631
DOID:13095	PRESENTS_DpS	D014474	8.45094223453614
DOID:1574	PRESENTS_DpS	D014474	11.54977851505917
DOID:682	PRESENTS_DpS	D014474	40.01047755023128
DOID:4203	PRESENTS_DpS	D009155	18.40695906222685
DOID:3070	PRESENTS_DpS	D009155	8.278864122268955
DOID:5241	PRESENTS_DpS	D009155	103.80668773465143
DOID:2786	PRESENTS_DpS	D009155	69.11516241429696
DOID:10908	PRESENTS_DpS	D009155	4.344221481839427
DOID:0060688	PRESENTS_DpS	D009155	13.089992881495636
DOID:1319	PRESENTS_DpS	D009155	6.00379030231405
DOID:5077	PRESENTS_DpS	D009155	28.998434346292424
DOID:3526	PRESENTS_DpS	D009155	7.57570914508354
DOID:4844	PRESENTS_DpS	D009155	61.99566073041682
DOID:5076	PRESENTS_DpS	D009155	8.278864122268955
DOID:483	PRESENTS_DpS	D009155	7.831030829105284
DOID:639	PRESENTS_DpS	D009155	18.598698219125048
DOID:3842	PRESENTS_DpS	D009155	17.25096646411599
DOID:0050902	PRESENTS_DpS	D009155	273.65320796782987
DOID:2615	PRESENTS_DpS	D009155	19.62060471468137
DOID:4706	PRESENTS_DpS	D009155	327.3370886566009
DOID:4851	PRESENTS_DpS	D009155	28.998434346292424
DOID:139	PRESENTS_DpS	D009155	19.62060471468137
DOID:6726	PRESENTS_DpS	D009155	28.998434346292424
DOID:6811	PRESENTS_DpS	D009155	28.998434346292424
DOID:7005	PRESENTS_DpS	D009155	28.998434346292424
DOID:4189	PRESENTS_DpS	D009155	892.7375145180023
DOID:3523	PRESENTS_DpS	D009155	14.555502954097864
DOID:14159	PRESENTS_DpS	D009155	4.344221481839427
DOID:4205	PRESENTS_DpS	D009155	174.02290731345073
DOID:3541	PRESENTS_DpS	D009155	41.94068860151689
DOID:4267	PRESENTS_DpS	D009155	25.506786129085786
DOID:1573	PRESENTS_DpS	D009155	4.344221481839427
